question,expected_answer,role,grade,keywords,score_max
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Team Lead,VPN;шифрование;безопасность,6
Что такое SLA и зачем он нужен?,"Service Level Agreement — договор об уровне сервиса, фиксирует метрики и ответственность.",IT Specialist,Junior,SLA;сервис;метрики;договор,9
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Middle,VPN;шифрование;безопасность,6
Опишите модель OSI.,7 уровней взаимодействия сетевых протоколов от физического до прикладного.,IT Specialist,Senior,OSI;уровни;протоколы,9
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Middle,BPMN;процессы;моделирование,8
Какие коллекции в Java знаете и где применяли?,"List, Set, Map; различия по уникальности, доступу и скорости.",Java Developer,Team Lead,List;Set;Map;коллекции,10
Что такое Garbage Collector?,Механизм автоматического управления памятью в Java.,Java Developer,Senior,GC;память;сборщик,10
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Middle,use case;user story;разница,9
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Junior,BPMN;процессы;моделирование,8
Опишите модель OSI.,7 уровней взаимодействия сетевых протоколов от физического до прикладного.,IT Specialist,Junior,OSI;уровни;протоколы,8
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Middle,VPN;шифрование;безопасность,5
Как рассчитывается ROI в бизнес-анализе?,"Отношение выгоды к затратам, ROI = (Доход – Затраты) / Затраты * 100%.",Business Analyst,Team Lead,ROI;затраты;доход;формула,9
Что такое Garbage Collector?,Механизм автоматического управления памятью в Java.,Java Developer,Senior,GC;память;сборщик,6
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Senior,use case;user story;разница,8
Что такое SLA и зачем он нужен?,"Service Level Agreement — договор об уровне сервиса, фиксирует метрики и ответственность.",IT Specialist,Team Lead,SLA;сервис;метрики;договор,9
Опишите модель OSI.,7 уровней взаимодействия сетевых протоколов от физического до прикладного.,IT Specialist,Junior,OSI;уровни;протоколы,5
Как рассчитывается ROI в бизнес-анализе?,"Отношение выгоды к затратам, ROI = (Доход – Затраты) / Затраты * 100%.",Business Analyst,Junior,ROI;затраты;доход;формула,8
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Senior,use case;user story;разница,9
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Middle,VPN;шифрование;безопасность,7
Какие коллекции в Java знаете и где применяли?,"List, Set, Map; различия по уникальности, доступу и скорости.",Java Developer,Senior,List;Set;Map;коллекции,8
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Senior,VPN;шифрование;безопасность,10
Опишите модель OSI.,7 уровней взаимодействия сетевых протоколов от физического до прикладного.,IT Specialist,Junior,OSI;уровни;протоколы,8
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Team Lead,BPMN;процессы;моделирование,10
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Junior,полиморфизм;перегрузка;переопределение,8
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Team Lead,полиморфизм;перегрузка;переопределение,9
Опишите модель OSI.,7 уровней взаимодействия сетевых протоколов от физического до прикладного.,IT Specialist,Team Lead,OSI;уровни;протоколы,7
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Junior,полиморфизм;перегрузка;переопределение,8
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Team Lead,полиморфизм;перегрузка;переопределение,8
Как рассчитывается ROI в бизнес-анализе?,"Отношение выгоды к затратам, ROI = (Доход – Затраты) / Затраты * 100%.",Business Analyst,Middle,ROI;затраты;доход;формула,6
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Junior,VPN;шифрование;безопасность,8
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Team Lead,VPN;шифрование;безопасность,9
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Senior,use case;user story;разница,8
Как рассчитывается ROI в бизнес-анализе?,"Отношение выгоды к затратам, ROI = (Доход – Затраты) / Затраты * 100%.",Business Analyst,Junior,ROI;затраты;доход;формула,6
Что такое SLA и зачем он нужен?,"Service Level Agreement — договор об уровне сервиса, фиксирует метрики и ответственность.",IT Specialist,Team Lead,SLA;сервис;метрики;договор,9
Что такое Garbage Collector?,Механизм автоматического управления памятью в Java.,Java Developer,Junior,GC;память;сборщик,6
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Team Lead,use case;user story;разница,7
Опишите модель OSI.,7 уровней взаимодействия сетевых протоколов от физического до прикладного.,IT Specialist,Senior,OSI;уровни;протоколы,7
Что такое SLA и зачем он нужен?,"Service Level Agreement — договор об уровне сервиса, фиксирует метрики и ответственность.",IT Specialist,Junior,SLA;сервис;метрики;договор,8
Что такое SLA и зачем он нужен?,"Service Level Agreement — договор об уровне сервиса, фиксирует метрики и ответственность.",IT Specialist,Middle,SLA;сервис;метрики;договор,8
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Senior,VPN;шифрование;безопасность,5
Что такое Garbage Collector?,Механизм автоматического управления памятью в Java.,Java Developer,Middle,GC;память;сборщик,7
Как рассчитывается ROI в бизнес-анализе?,"Отношение выгоды к затратам, ROI = (Доход – Затраты) / Затраты * 100%.",Business Analyst,Senior,ROI;затраты;доход;формула,6
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Middle,BPMN;процессы;моделирование,9
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Team Lead,VPN;шифрование;безопасность,5
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Team Lead,VPN;шифрование;безопасность,7
Какие коллекции в Java знаете и где применяли?,"List, Set, Map; различия по уникальности, доступу и скорости.",Java Developer,Junior,List;Set;Map;коллекции,8
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Senior,use case;user story;разница,7
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Middle,VPN;шифрование;безопасность,8
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Junior,BPMN;процессы;моделирование,6
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Middle,VPN;шифрование;безопасность,10
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Middle,полиморфизм;перегрузка;переопределение,6
Какие коллекции в Java знаете и где применяли?,"List, Set, Map; различия по уникальности, доступу и скорости.",Java Developer,Senior,List;Set;Map;коллекции,9
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Team Lead,use case;user story;разница,10
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Junior,use case;user story;разница,5
Как рассчитывается ROI в бизнес-анализе?,"Отношение выгоды к затратам, ROI = (Доход – Затраты) / Затраты * 100%.",Business Analyst,Senior,ROI;затраты;доход;формула,8
Как рассчитывается ROI в бизнес-анализе?,"Отношение выгоды к затратам, ROI = (Доход – Затраты) / Затраты * 100%.",Business Analyst,Middle,ROI;затраты;доход;формула,5
Что такое Garbage Collector?,Механизм автоматического управления памятью в Java.,Java Developer,Junior,GC;память;сборщик,6
Что такое Garbage Collector?,Механизм автоматического управления памятью в Java.,Java Developer,Junior,GC;память;сборщик,6
Как рассчитывается ROI в бизнес-анализе?,"Отношение выгоды к затратам, ROI = (Доход – Затраты) / Затраты * 100%.",Business Analyst,Team Lead,ROI;затраты;доход;формула,7
Какие коллекции в Java знаете и где применяли?,"List, Set, Map; различия по уникальности, доступу и скорости.",Java Developer,Senior,List;Set;Map;коллекции,5
Что такое SLA и зачем он нужен?,"Service Level Agreement — договор об уровне сервиса, фиксирует метрики и ответственность.",IT Specialist,Team Lead,SLA;сервис;метрики;договор,10
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Senior,BPMN;процессы;моделирование,9
Какие коллекции в Java знаете и где применяли?,"List, Set, Map; различия по уникальности, доступу и скорости.",Java Developer,Junior,List;Set;Map;коллекции,6
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Junior,BPMN;процессы;моделирование,6
Опишите модель OSI.,7 уровней взаимодействия сетевых протоколов от физического до прикладного.,IT Specialist,Team Lead,OSI;уровни;протоколы,6
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Team Lead,BPMN;процессы;моделирование,5
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Middle,use case;user story;разница,6
Что такое Garbage Collector?,Механизм автоматического управления памятью в Java.,Java Developer,Senior,GC;память;сборщик,10
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Junior,полиморфизм;перегрузка;переопределение,9
Что такое SLA и зачем он нужен?,"Service Level Agreement — договор об уровне сервиса, фиксирует метрики и ответственность.",IT Specialist,Team Lead,SLA;сервис;метрики;договор,9
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Team Lead,use case;user story;разница,9
Как рассчитывается ROI в бизнес-анализе?,"Отношение выгоды к затратам, ROI = (Доход – Затраты) / Затраты * 100%.",Business Analyst,Team Lead,ROI;затраты;доход;формула,8
Что такое SLA и зачем он нужен?,"Service Level Agreement — договор об уровне сервиса, фиксирует метрики и ответственность.",IT Specialist,Team Lead,SLA;сервис;метрики;договор,9
Что такое Garbage Collector?,Механизм автоматического управления памятью в Java.,Java Developer,Junior,GC;память;сборщик,8
Какие коллекции в Java знаете и где применяли?,"List, Set, Map; различия по уникальности, доступу и скорости.",Java Developer,Senior,List;Set;Map;коллекции,8
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Team Lead,VPN;шифрование;безопасность,6
Какие коллекции в Java знаете и где применяли?,"List, Set, Map; различия по уникальности, доступу и скорости.",Java Developer,Senior,List;Set;Map;коллекции,8
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Team Lead,полиморфизм;перегрузка;переопределение,7
Что такое SLA и зачем он нужен?,"Service Level Agreement — договор об уровне сервиса, фиксирует метрики и ответственность.",IT Specialist,Middle,SLA;сервис;метрики;договор,8
Какие коллекции в Java знаете и где применяли?,"List, Set, Map; различия по уникальности, доступу и скорости.",Java Developer,Team Lead,List;Set;Map;коллекции,6
Какие коллекции в Java знаете и где применяли?,"List, Set, Map; различия по уникальности, доступу и скорости.",Java Developer,Senior,List;Set;Map;коллекции,5
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Team Lead,BPMN;процессы;моделирование,5
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Senior,полиморфизм;перегрузка;переопределение,6
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Junior,BPMN;процессы;моделирование,9
Как рассчитывается ROI в бизнес-анализе?,"Отношение выгоды к затратам, ROI = (Доход – Затраты) / Затраты * 100%.",Business Analyst,Senior,ROI;затраты;доход;формула,9
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Senior,VPN;шифрование;безопасность,7
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Team Lead,полиморфизм;перегрузка;переопределение,8
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Senior,полиморфизм;перегрузка;переопределение,7
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Senior,use case;user story;разница,10
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Middle,VPN;шифрование;безопасность,8
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Team Lead,VPN;шифрование;безопасность,7
Какие коллекции в Java знаете и где применяли?,"List, Set, Map; различия по уникальности, доступу и скорости.",Java Developer,Middle,List;Set;Map;коллекции,8
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Junior,полиморфизм;перегрузка;переопределение,10
Как рассчитывается ROI в бизнес-анализе?,"Отношение выгоды к затратам, ROI = (Доход – Затраты) / Затраты * 100%.",Business Analyst,Middle,ROI;затраты;доход;формула,7
Опишите модель OSI.,7 уровней взаимодействия сетевых протоколов от физического до прикладного.,IT Specialist,Middle,OSI;уровни;протоколы,6
Что такое Garbage Collector?,Механизм автоматического управления памятью в Java.,Java Developer,Senior,GC;память;сборщик,6
Как рассчитывается ROI в бизнес-анализе?,"Отношение выгоды к затратам, ROI = (Доход – Затраты) / Затраты * 100%.",Business Analyst,Team Lead,ROI;затраты;доход;формула,6
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Middle,BPMN;процессы;моделирование,8
Как рассчитывается ROI в бизнес-анализе?,"Отношение выгоды к затратам, ROI = (Доход – Затраты) / Затраты * 100%.",Business Analyst,Middle,ROI;затраты;доход;формула,9
Что такое Garbage Collector?,Механизм автоматического управления памятью в Java.,Java Developer,Junior,GC;память;сборщик,6
Как рассчитывается ROI в бизнес-анализе?,"Отношение выгоды к затратам, ROI = (Доход – Затраты) / Затраты * 100%.",Business Analyst,Senior,ROI;затраты;доход;формула,10
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Junior,BPMN;процессы;моделирование,10
Опишите модель OSI.,7 уровней взаимодействия сетевых протоколов от физического до прикладного.,IT Specialist,Middle,OSI;уровни;протоколы,9
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Middle,полиморфизм;перегрузка;переопределение,7
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Middle,BPMN;процессы;моделирование,5
Как рассчитывается ROI в бизнес-анализе?,"Отношение выгоды к затратам, ROI = (Доход – Затраты) / Затраты * 100%.",Business Analyst,Senior,ROI;затраты;доход;формула,6
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Middle,use case;user story;разница,6
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Senior,BPMN;процессы;моделирование,9
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Middle,use case;user story;разница,7
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Junior,полиморфизм;перегрузка;переопределение,5
Что такое SLA и зачем он нужен?,"Service Level Agreement — договор об уровне сервиса, фиксирует метрики и ответственность.",IT Specialist,Middle,SLA;сервис;метрики;договор,6
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Team Lead,BPMN;процессы;моделирование,9
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Middle,BPMN;процессы;моделирование,10
Какие коллекции в Java знаете и где применяли?,"List, Set, Map; различия по уникальности, доступу и скорости.",Java Developer,Senior,List;Set;Map;коллекции,10
Опишите модель OSI.,7 уровней взаимодействия сетевых протоколов от физического до прикладного.,IT Specialist,Senior,OSI;уровни;протоколы,8
Как рассчитывается ROI в бизнес-анализе?,"Отношение выгоды к затратам, ROI = (Доход – Затраты) / Затраты * 100%.",Business Analyst,Junior,ROI;затраты;доход;формула,7
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Team Lead,BPMN;процессы;моделирование,5
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Team Lead,полиморфизм;перегрузка;переопределение,9
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Team Lead,BPMN;процессы;моделирование,10
Какие коллекции в Java знаете и где применяли?,"List, Set, Map; различия по уникальности, доступу и скорости.",Java Developer,Senior,List;Set;Map;коллекции,9
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Team Lead,VPN;шифрование;безопасность,6
Какие коллекции в Java знаете и где применяли?,"List, Set, Map; различия по уникальности, доступу и скорости.",Java Developer,Team Lead,List;Set;Map;коллекции,6
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Junior,VPN;шифрование;безопасность,8
Какие коллекции в Java знаете и где применяли?,"List, Set, Map; различия по уникальности, доступу и скорости.",Java Developer,Team Lead,List;Set;Map;коллекции,7
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Middle,use case;user story;разница,10
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Team Lead,полиморфизм;перегрузка;переопределение,7
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Senior,VPN;шифрование;безопасность,6
Что такое Garbage Collector?,Механизм автоматического управления памятью в Java.,Java Developer,Team Lead,GC;память;сборщик,10
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Senior,BPMN;процессы;моделирование,5
Опишите модель OSI.,7 уровней взаимодействия сетевых протоколов от физического до прикладного.,IT Specialist,Junior,OSI;уровни;протоколы,7
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Middle,BPMN;процессы;моделирование,10
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Middle,use case;user story;разница,7
Какие коллекции в Java знаете и где применяли?,"List, Set, Map; различия по уникальности, доступу и скорости.",Java Developer,Junior,List;Set;Map;коллекции,6
Что такое Garbage Collector?,Механизм автоматического управления памятью в Java.,Java Developer,Senior,GC;память;сборщик,8
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Team Lead,полиморфизм;перегрузка;переопределение,5
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Senior,VPN;шифрование;безопасность,5
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Team Lead,полиморфизм;перегрузка;переопределение,7
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Junior,полиморфизм;перегрузка;переопределение,6
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Junior,VPN;шифрование;безопасность,9
Что такое Garbage Collector?,Механизм автоматического управления памятью в Java.,Java Developer,Junior,GC;память;сборщик,6
Какие коллекции в Java знаете и где применяли?,"List, Set, Map; различия по уникальности, доступу и скорости.",Java Developer,Team Lead,List;Set;Map;коллекции,10
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Middle,BPMN;процессы;моделирование,8
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Senior,полиморфизм;перегрузка;переопределение,6
Какие коллекции в Java знаете и где применяли?,"List, Set, Map; различия по уникальности, доступу и скорости.",Java Developer,Senior,List;Set;Map;коллекции,10
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Team Lead,полиморфизм;перегрузка;переопределение,10
Что такое SLA и зачем он нужен?,"Service Level Agreement — договор об уровне сервиса, фиксирует метрики и ответственность.",IT Specialist,Senior,SLA;сервис;метрики;договор,7
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Junior,use case;user story;разница,10
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Team Lead,VPN;шифрование;безопасность,10
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Middle,use case;user story;разница,8
Какие коллекции в Java знаете и где применяли?,"List, Set, Map; различия по уникальности, доступу и скорости.",Java Developer,Middle,List;Set;Map;коллекции,8
Какие коллекции в Java знаете и где применяли?,"List, Set, Map; различия по уникальности, доступу и скорости.",Java Developer,Junior,List;Set;Map;коллекции,10
Что такое Garbage Collector?,Механизм автоматического управления памятью в Java.,Java Developer,Team Lead,GC;память;сборщик,9
Какие коллекции в Java знаете и где применяли?,"List, Set, Map; различия по уникальности, доступу и скорости.",Java Developer,Middle,List;Set;Map;коллекции,5
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Middle,use case;user story;разница,5
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Team Lead,use case;user story;разница,6
Как рассчитывается ROI в бизнес-анализе?,"Отношение выгоды к затратам, ROI = (Доход – Затраты) / Затраты * 100%.",Business Analyst,Junior,ROI;затраты;доход;формула,8
Что такое Garbage Collector?,Механизм автоматического управления памятью в Java.,Java Developer,Senior,GC;память;сборщик,9
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Junior,use case;user story;разница,8
Опишите модель OSI.,7 уровней взаимодействия сетевых протоколов от физического до прикладного.,IT Specialist,Team Lead,OSI;уровни;протоколы,8
Что такое Garbage Collector?,Механизм автоматического управления памятью в Java.,Java Developer,Team Lead,GC;память;сборщик,5
Что такое SLA и зачем он нужен?,"Service Level Agreement — договор об уровне сервиса, фиксирует метрики и ответственность.",IT Specialist,Junior,SLA;сервис;метрики;договор,9
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Team Lead,полиморфизм;перегрузка;переопределение,9
Как рассчитывается ROI в бизнес-анализе?,"Отношение выгоды к затратам, ROI = (Доход – Затраты) / Затраты * 100%.",Business Analyst,Team Lead,ROI;затраты;доход;формула,5
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Team Lead,полиморфизм;перегрузка;переопределение,10
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Middle,use case;user story;разница,9
Опишите модель OSI.,7 уровней взаимодействия сетевых протоколов от физического до прикладного.,IT Specialist,Middle,OSI;уровни;протоколы,7
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Junior,use case;user story;разница,5
Что такое SLA и зачем он нужен?,"Service Level Agreement — договор об уровне сервиса, фиксирует метрики и ответственность.",IT Specialist,Middle,SLA;сервис;метрики;договор,7
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Middle,BPMN;процессы;моделирование,10
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Middle,полиморфизм;перегрузка;переопределение,5
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Team Lead,VPN;шифрование;безопасность,5
Как рассчитывается ROI в бизнес-анализе?,"Отношение выгоды к затратам, ROI = (Доход – Затраты) / Затраты * 100%.",Business Analyst,Senior,ROI;затраты;доход;формула,5
Опишите модель OSI.,7 уровней взаимодействия сетевых протоколов от физического до прикладного.,IT Specialist,Junior,OSI;уровни;протоколы,9
